114,79,256,209,28923
520,154,271,181,28033
908,209,215,199,27776
1276,278,271,176,29077
71,455,287,186,32615
490,542,256,180,25321
878,622,286,175,29554
1272,704,281,186,28486
145,851,174,220,27856
447,919,286,180,29831
847,995,282,182,29419
1293,1073,216,198,27824
119,1293,262,192,28289
486,1364,207,177,23696
849,1425,272,178,27357
1271,1514,260,207,29093
124,1681,266,184,26983
505,1740,257,199,28546
887,1812,254,180,27787
1276,1917,258,181,25646
86,66,250,202,27688
531,110,167,225,24841
906,170,282,176,27924
1306,227,266,186,28530
63,431,287,165,31032
480,481,265,197,29318
919,540,260,186,26832
1297,605,278,199,30481
100,843,205,182,26454
418,936,248,199,26641
801,1017,272,181,29292
1258,1088,288,188,31585
83,1303,278,180,28022
439,1354,236,195,27421
816,1484,273,190,31323
1286,1548,226,171,25534
69,1776,284,186,30904
478,1853,265,194,32037
857,1950,233,171,24218
1248,2044,279,185,29288
84,96,257,206,28882
468,168,283,172,28179
887,204,267,187,28777
1327,244,252,208,28016
91,498,268,200,27010
506,558,263,203,29374
896,622,229,183,27880
1292,675,269,185,30681
90,882,261,193,28629
502,941,280,177,27516
881,1024,256,202,27973
1317,1127,227,169,25266
75,1309,271,185,30871
460,1383,251,184,27191
835,1447,280,196,30776
1288,1558,266,190,28557
65,1799,278,173,27949
477,1858,256,192,26258
868,1950,255,197,27136
1263,2067,279,168,30058
99,84,235,180,26196
448,132,262,186,29932
918,152,220,211,27595
1285,221,274,194,28249
70,433,279,187,29749
437,499,231,178,26470
845,553,275,176,28607
1277,639,254,191,26746
79,831,278,175,28051
422,913,289,183,30815
844,996,263,206,29904
1277,1087,255,192,27259
96,1298,249,184,27358
416,1363,239,195,28471
741,1487,267,189,30703
1197,1614,279,186,29018
43,1769,252,191,26099
409,1839,237,174,25439
736,1952,263,189,30540
1201,2062,281,178,28918
135,87,276,189,29218
525,156,261,191,27082
962,223,238,184,29090
1345,294,222,182,24912
141,472,249,199,29084
496,563,298,178,34266
934,637,240,176,30854
1312,715,265,167,25391
173,922,252,207,28892
482,984,289,192,31517
924,1095,263,203,29363
1321,1182,273,181,27812
201,1412,258,191,26857
537,1500,277,180,28904
921,1584,278,187,28067
1347,1706,253,197,26955
216,156,271,168,26738
571,249,263,188,27433
962,391,217,181,25577
1316,611,282,182,29733
181,767,284,176,31266
665,911,195,216,27069
1030,1045,193,258,27397
1320,1231,237,231,27952
