9.900000000000000000e+01,8.400000000000000000e+01,2.350000000000000000e+02,1.800000000000000000e+02,2.619600000000000000e+04
4.480000000000000000e+02,1.320000000000000000e+02,2.620000000000000000e+02,1.860000000000000000e+02,2.993200000000000000e+04
9.180000000000000000e+02,1.520000000000000000e+02,2.200000000000000000e+02,2.110000000000000000e+02,2.759500000000000000e+04
1.285000000000000000e+03,2.210000000000000000e+02,2.740000000000000000e+02,1.940000000000000000e+02,2.824900000000000000e+04
7.000000000000000000e+01,4.330000000000000000e+02,2.790000000000000000e+02,1.870000000000000000e+02,2.974900000000000000e+04
4.370000000000000000e+02,4.990000000000000000e+02,2.310000000000000000e+02,1.780000000000000000e+02,2.647000000000000000e+04
8.450000000000000000e+02,5.530000000000000000e+02,2.750000000000000000e+02,1.760000000000000000e+02,2.860700000000000000e+04
1.277000000000000000e+03,6.390000000000000000e+02,2.540000000000000000e+02,1.910000000000000000e+02,2.674600000000000000e+04
7.900000000000000000e+01,8.310000000000000000e+02,2.780000000000000000e+02,1.750000000000000000e+02,2.805100000000000000e+04
4.220000000000000000e+02,9.130000000000000000e+02,2.890000000000000000e+02,1.830000000000000000e+02,3.081500000000000000e+04
8.440000000000000000e+02,9.960000000000000000e+02,2.630000000000000000e+02,2.060000000000000000e+02,2.990400000000000000e+04
1.277000000000000000e+03,1.087000000000000000e+03,2.550000000000000000e+02,1.920000000000000000e+02,2.725900000000000000e+04
9.600000000000000000e+01,1.298000000000000000e+03,2.490000000000000000e+02,1.840000000000000000e+02,2.735800000000000000e+04
4.160000000000000000e+02,1.363000000000000000e+03,2.390000000000000000e+02,1.950000000000000000e+02,2.847100000000000000e+04
7.410000000000000000e+02,1.487000000000000000e+03,2.670000000000000000e+02,1.890000000000000000e+02,3.070300000000000000e+04
1.197000000000000000e+03,1.614000000000000000e+03,2.790000000000000000e+02,1.860000000000000000e+02,2.901800000000000000e+04
4.300000000000000000e+01,1.769000000000000000e+03,2.520000000000000000e+02,1.910000000000000000e+02,2.609900000000000000e+04
4.090000000000000000e+02,1.839000000000000000e+03,2.370000000000000000e+02,1.740000000000000000e+02,2.543900000000000000e+04
7.360000000000000000e+02,1.952000000000000000e+03,2.630000000000000000e+02,1.890000000000000000e+02,3.054000000000000000e+04
1.201000000000000000e+03,2.062000000000000000e+03,2.810000000000000000e+02,1.780000000000000000e+02,2.891800000000000000e+04
